IDNo_,Comment,Point,NAME_Species,Input_SiO2,Input_TiO2,Input_Al2O3,Input_Cr2O3,Input_FeO,Input_NiO,Input_MnO,Input_MgO,Input_CaO,Input_Na2O,Input_K2O,Input_P2O5,Input_SO3,Input_F,Input_Cl,Input_V2O3,Input_ZnO,Input_CoO,Input_BaO,Input_SrO,Input_B2O3,Input_PbO,Input_CuO,Input_Sb2O3,Input_As2O5,Input_ThO2,Input_ZrO2,Input_HfO2,Input_Ag2O,Input_Y2O3,Input_La2O3,Input_Ce2O3,Input_Nd2O3
4_42,,164,Sarcopside,,,,,50.62059378,,6.245655844,3.544831695,,,,39.58891868,,,,,,,,,,,,,,,,,,,,,
4_44,,165,Archerite,,,,,,,,,,,33.23076923,66.76923077,,,,,,,,,,,,,,,,,,,,,
4_45,,166,Monazite-Ce,,,,,,,,,,,,29.49985025,,,,,,,,,,,,,,5.490665868,,,,,16.9212339,34.10202655,13.98622342
4_46,,167,Monazite-La,,,,,,,,,,,,29.5327476,,,,,,,,,,,,,,5.491214058,,,,,33.89576677,17.07268371,14.00758786
'4_47',,168,'Monazite-Nd',6.282090003,,,,,,,,,,,22.25913621,,,,,,,,,,,,,,5.516963656,,,,,17.03412866,13.73200443,35.17567704
4_48,,169,Xenotime,,,,,,,,,,,,38.6,,,,,,,,,,,,,,,,,,61.4,,,
5_1,,170,Chromite,,0.26355269,10.02513887,52.88286097,31.19247456,,,5.352146941,,,,,,,,0.283825974,,,,,,,,,,,,,,,,,
5_2,,171,Chromite,,,,67.9,32.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5_3,,172,Hausmannite,,,,,,,99.7162811,,,,,,,,,,,,0.2837189,,,,,,,,,,,,,,
5_4,,173,Hausmannite,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,
5_5,,174,Hercynite,,,58.66,,41.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5_6,,175,Hercynite,,,60.7,,34.7,,0.2,4.3,0.1,,,,,,,,,,,,,,,,,,,,,,,,
5_7,,176,Maghemite or Ti-magnetite,0.328319529,14.2271796,1.969917176,,73.47791066,,0.803726208,9.192946821,,,,,,,,,,,,,,,,,,,,,,,,,
5_8,,177,Maghemite,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5_9,,178,Magnesiochromite,,,,79.04,,,,20.96,,,,,,,,,,,,,,,,,,,,,,,,,
5_10,,179,Magnesiochromite,,0.168483647,10.20812686,58.5728444,11.7938553,0.039643211,,19.12784936,,,,,,,,0.089197225,,,,,,,,,,,,,,,,,
5_11,,180,Magnetite,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5_12,,181,Magnetite,0.289621883,,0.225261464,,99.48511665,,,,,,,,,,,,,,,,,,,,,,,,,,,,
new,,182,Magnetite,0.27,0.01,0.21,0.01,92.745,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fake,,183,Magnetite,,2.05,,1.95,97,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5_13,,184,Spinel,0.020084354,0.050210886,70.37557743,,0.331391846,,,28.89134364,,,,,,,,,0.331391846,,,,,,,,,,,,,,,,
5_14,,185,Spinel,,,71.67,,,,,28.33,,,,,,,,,,,,,,,,,,,,,,,,,
5_15,,186,Spinel (ss),0.020084354,0.050210886,70.37557743,,0.331391846,,,28.89134364,,,,,,,,,0.331391846,,,,,,,,,,,,,,,,
5_16,,187,Spinel (ss),,,71.67,,,,,28.33,,,,,,,,,,,,,,,,,,,,,,,,,
5_17,,188,Ti-magnetite,0.0509494,14.38259093,1.836301277,0.110390366,81.9414948,,0.277164734,1.063568717,,,,,,,,0.337539772,,,,,,,,,,,,,,,,,
5_18,,189,Ulvospinel,0.205233453,26.98819908,1.436634171,,68.2914315,,0.718317086,1.847101077,,,,,,,,0.205233453,,,,,,,,,,,,,,,,,
5_19,,190,Ulvospinel,,35.73,,,64.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5_20,,191,Wustite,0.140182237,0.010013017,0.010013017,0.030039051,99.69960949,,0.090117152,0.020026034,,,,,,,,,,,,,,,,,,,,,,,,,
5_21,,192,Ecandrewsite,,50.34655952,,,11.42139628,,7.674535409,,,,,,,,,,30.55750879,,,,,,,,,,,,,,,,
5_22,,193,Ecandrewsite,,50.79,,,9.14,,9.02,,,,,,,,,,31.05,,,,,,,,,,,,,,,,
5_23,,194,Geikielite,,66.46,,,,,,33.54,,,,,,,,,,,,,,,,,,,,,,,,,
5_24,,195,Geikielite,,67.5508576,,,3.799361787,,,28.64978061,,,,,,,,,,,,,,,,,,,,,,,,,
5_25,,196,Ilmenite,,52.65,,,47.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,
